timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-11-12	75.26	76.79	72.12	74.88	759337.894	66.76520000000002		72.5817200087317	70.19370764755361	68.91033183028436	2.3880127061520398	2.0499492626036018	0.338063443548438	75.91846099994714	70.86400000000003	65.80953900005292	29.60050266506752	80.36367178534634	78.36417181373342	0
2023-11-13	74.88	76.05	70.5	71.1	687416.727	66.91560000000003		72.35376308431144	70.26084041440149	53.11088721992435	2.0929229618109844	2.0585440024450783	0.03437895936590607	75.95480862254587	70.96150000000003	65.96819137745419	27.988468246823015	72.0302050140643	77.14635566929222	0
2023-11-14	71.1	72.56	68.09	70.61	612778.52	67.04120000000003		72.08549184057122	70.28670408740878	51.46368351413734	1.798788000155625	2.0065928019871877	-0.2078048018315628	75.9460696129614	71.05650000000001	66.16693038703863	26.58416968364163	55.31776913099861	69.23721531013638	1
2023-11-15	70.61	74.3	70.5	74.03	546364.964	67.24580000000003		72.3846469420218	70.56398526611925	60.63940321408072	1.8206618848967935	1.9694066185691088	-0.14874473367231533	76.25393554882851	71.32000000000002	66.38606445117153	24.867160693220516	51.71336756131816	59.68711390212698	0
2023-11-16	74.02	74.35	69.78	70.97	516234.012	67.39460000000003		72.16700895094152	70.5940604315919	51.2954223882351	1.572948696190906	1.8901150340934683	-0.3171663379025622	76.04227713057657	71.51900000000002	66.99572286942347	23.222702188781117	49.28076287502454	52.10396652244706	0
2023-11-17	70.96	71.66	68.0	70.29	701059.335	67.49620000000002		71.87823834310437	70.57153743665917	49.47110336699523	1.3067010560801293	1.7734322384908006	-0.46673118241067124	75.86899999999943	71.64700000000002	67.42500000000061	22.413163525332212	45.084028339847	48.69271959206319	0
2023-11-18	70.28	70.33	67.5	69.86	319967.121	67.58240000000002		71.56774013647293	70.5188309598696	48.30126750773365	1.0489093032174992	1.6285276514361402	-0.579618348218641	75.80172164726592	71.7005	67.59927835273409	21.850425240484153	30.01623870494925	41.46034330660689	1
2023-11-19	69.85	70.67	68.5	70.54	267656.397	67.67380000000001		71.40962626932325	70.5203990369163	50.30265712710179	0.8892273395420176	1.4806675890573158	-0.5914402495152982	75.74583952930993	71.76700000000001	67.78816047069009	21.15186222179566	28.47336105873471	34.52454270117694	0
2023-11-20	70.56	71.02	68.62	69.51	363216.736	67.70020000000002		71.11737607404275	70.4455546638114	47.3147875444712	0.6718215008841071	1.318898371422674	-0.647076870538567	75.69552536874414	71.798	67.90047463125586	20.316707525566937	26.587728740581298	28.35910950142171	0
2023-11-21	69.52	71.87	65.12	66.15	766319.59	67.70380000000003		70.35316437034386	70.127365429455	39.14619860605589	0.22579901759503684	1.1002785006571467	-0.8744794830621099	76.16292405555734	71.607	67.05107594444266	20.838299697590685	21.0618586908431	25.374316163386325	1
2023-11-22	66.15	69.15	65.96	68.7	411855.152	67.76780000000002		70.09883139029095	70.02163465690278	46.671062744257085	0.07719679829340009	0.8956621601843974	-0.8184653618909973	76.20659523198128	71.57050000000001	66.93440476801874	21.32263528589845	20.379722355199778	22.676436595541347	1
2023-11-23	68.7	70.76	68.38	69.51	487505.593	67.87000000000003		70.00824194563081	69.9837357934285	48.83532885591343	0.024506207122115597	0.721430969571941	-0.6969247624498254	76.20417716430397	71.5735	66.94282283569602	20.89127790180978	25.706940874035993	22.382840640026245	1
2023-11-24	69.51	71.77	69.43	70.73	431373.898	67.98860000000002		70.119281646303	70.0390146235449	51.99535371648088	0.08026706922869664	0.5931981895032921	-0.5129311202745954	76.2061761853093	71.5895	66.9728238146907	19.985972433619384	38.78891745215652	28.291860227130723	1
